id,name,host_id,host_name,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,minimum_nights,availability_365,number_of_reviews,review_scores_rating,reviews_per_month
2527369,Home in Peppermint Grove Beach · ★4.60 · 4 bedrooms · 8 beds · 2 baths,9132136,Charles,CAPEL,-33.52393,115.50995,Entire home,Entire home/apt,12,4.0,8.0,2,330,102,4.6,0.99
2554343,Bed and breakfast in Ocean Reef · ★4.95 · 1 bedroom · 1 bed · 1 shared bath,851626,Jodi & Kyle,JOONDALUP,-31.76737,115.74157,Private room in bed and breakfast,Private room,2,,1.0,1,297,21,4.95,0.2
566327,Home in Margaret River · ★4.87 · 3 bedrooms · 6 beds · 2 baths,2785721,Geri & Greg,AUGUSTA-MARGARET RIVER,-33.94938,115.05723,Entire home,Entire home/apt,6,3.0,6.0,3,146,31,4.87,0.24
1606282,Rental unit in Burswood · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,8557399,Kate,VICTORIA PARK,-31.97221,115.8961,Private room in rental unit,Private room,2,,1.0,1,196,76,5.0,0.67
2555426,Rental unit in Subiaco · ★4.87 · 1 bedroom · 4 beds · 1 bath,6515090,Gillian,SUBIACO,-31.95585,115.81821,Entire rental unit,Entire home/apt,3,1.0,4.0,3,124,247,4.87,2.19
567450,Home in Gosnells · ★4.89 · 1 bedroom · 1 bed · 1 shared bath,2559435,Lenny,GOSNELLS,-32.07493,115.99251,Private room in home,Private room,2,1.0,1.0,2,170,20,4.89,0.16
2561342,Cottage in Prevelly · ★4.63 · 2 bedrooms · 4 beds · 1 bath,13114227,Tony,AUGUSTA-MARGARET RIVER,-33.98424,114.99211,Entire cottage,Entire home/apt,4,2.0,4.0,3,171,31,4.63,0.28
2561590,Home in Prevelly · ★4.51 · 3 bedrooms · 6 beds · 1 bath,13114227,Tony,AUGUSTA-MARGARET RIVER,-33.98465,114.99281,Entire home,Entire home/apt,6,3.0,6.0,3,278,39,4.51,0.35
1619973,"Bungalow in Ocean Beach, Denmark · ★4.87 · 1 bedroom · 1 bed · 1 bath",8618913,John,DENMARK,-35.007,117.32367,Entire bungalow,Entire home/apt,2,1.0,1.0,2,274,297,4.87,2.65
1649063,Guesthouse in Fremantle · ★4.93 · 1 bedroom · 1 bed · 1 bath,8145217,Noelle,FREMANTLE,-32.05931,115.74865,Entire guesthouse,Entire home/apt,2,1.0,1.0,3,243,161,4.93,1.36
588298,Guest suite in North Perth · ★4.95 · 1 bedroom · 1 bed · 1 bath,2901891,Annette,VINCENT,-31.92219,115.85459,Entire guest suite,Entire home/apt,2,1.0,1.0,2,157,383,4.95,2.89
1653068,Home in White Gum Valley · ★4.75 · 1 bedroom · 1 bed · 1 bath,8766429,SmartStayWA,FREMANTLE,-32.05957,115.77478,Entire home,Entire home/apt,2,1.0,1.0,2,0,56,4.75,0.48
2566204,Home in Esperance · ★4.79 · 1 bedroom · 1 bed · 1 private bath,4327305,Fiona,ESPERANCE,-33.86753,121.88303,Private room in home,Private room,2,,1.0,3,0,174,4.79,1.56
